fold,test_day,representation,n_features,accuracy,threat_precision,threat_recall,threat_f1,auc,false_proximity_alerts,missed_threats,confusion_matrix,fold_runtime_seconds
4,2023-06-19,top_1000,1000,0.9059888579387186,0.9355153883732291,0.738526802930968,0.8254310344827587,0.9336848546697744,132,678,"[[1915, 678], [132, 5891]]",2042.7602994441986
4,2023-06-19,top_1500,1500,0.9032033426183844,0.934320987654321,0.7296567682221365,0.819402338674751,0.9330069032841647,133,701,"[[1892, 701], [133, 5890]]",2377.407657146454
5,2023-06-20,top_500,500,0.8965877437325905,0.933154053015751,0.7720915448188176,0.8450165246129762,0.9541961238030708,174,717,"[[2429, 717], [174, 5296]]",762.4618515968323
5,2023-06-20,top_1000,1000,0.8953110492107706,0.9355590062111802,0.7660521296884933,0.8423628102062216,0.955677445373307,166,736,"[[2410, 736], [166, 5304]]",984.3908336162567
5,2023-06-20,top_1500,1500,0.896355617455896,0.9344388738912457,0.770184361093452,0.8443979787419411,0.9558815000854223,170,723,"[[2423, 723], [170, 5300]]",1316.7857897281647
6,2023-06-21,top_500,500,0.9381021512471954,0.8974619289340101,0.8687960687960687,0.882896379525593,0.9716736256613557,202,267,"[[1768, 267], [202, 5340]]",784.0310165882111
6,2023-06-21,top_1000,1000,0.9399498482248911,0.9010152284263959,0.8722358722358723,0.8863920099875156,0.9711823581726143,195,260,"[[1775, 260], [195, 5347]]",1009.4813611507416
6,2023-06-21,top_1500,1500,0.940873696713739,0.9042282221090168,0.8722358722358723,0.887943971985993,0.9720945347433978,188,260,"[[1775, 260], [188, 5354]]",1351.5962393283844
7,2023-06-22,top_500,500,0.8944805194805194,0.8505859375,0.8905930470347648,0.8701298701298701,0.9507743712963804,153,107,"[[871, 107], [153, 1333]]",829.2636966705322
7,2023-06-22,top_1000,1000,0.890422077922078,0.8371428571428572,0.8987730061349694,0.8668639053254438,0.950177113179037,171,99,"[[879, 99], [171, 1315]]",1066.4814145565033
7,2023-06-22,top_1500,1500,0.8989448051948052,0.8584070796460177,0.8926380368098159,0.8751879699248121,0.9537296980406081,144,105,"[[873, 105], [144, 1342]]",1427.5338218212128
8,2023-06-23,top_500,500,0.9191039925719592,0.9433214427269124,0.8111792774369462,0.8722741433021807,0.9563907670019317,143,554,"[[2380, 554], [143, 5539]]",765.2982783317566
8,2023-06-23,top_1000,1000,0.9186397400185701,0.947136563876652,0.8060668029993183,0.8709261646105689,0.9567257201552781,132,569,"[[2365, 569], [132, 5550]]",987.5134782791138
8,2023-06-23,top_1500,1500,0.9173630454967502,0.9465434083601286,0.8026584867075665,0.8686831427517521,0.9569501819568222,133,579,"[[2355, 579], [133, 5549]]",1328.86390542984
9,2023-06-24,top_500,500,0.9265320334261838,0.9075025693730729,0.8794820717131474,0.8932726353060192,0.9695652021938418,270,363,"[[2649, 363], [270, 5334]]",767.7695984840393
9,2023-06-24,top_1000,1000,0.9265320334261838,0.9047294998298742,0.8828021248339973,0.8936313224668123,0.9708557810158368,280,353,"[[2659, 353], [280, 5324]]",992.3342480659485
9,2023-06-24,top_1500,1500,0.9262999071494893,0.9063247863247863,0.8801460823373174,0.8930436247262927,0.9712473861394773,274,361,"[[2651, 361], [274, 5330]]",1333.8064060211182
10,2023-06-25,top_500,500,0.9530397505845675,0.9122502172024327,0.8823529411764706,0.897052541648868,0.9767581614076377,101,140,"[[1050, 140], [101, 3841]]",810.5187251567841
10,2023-06-25,top_1000,1000,0.9522603273577552,0.9112271540469974,0.8798319327731092,0.8952543822146216,0.9764981944071389,102,143,"[[1047, 143], [102, 3840]]",1044.3306739330292
10,2023-06-25,top_1500,1500,0.9516757599376462,0.9095652173913044,0.8789915966386554,0.8940170940170941,0.9780828313060385,104,144,"[[1046, 144], [104, 3838]]",1401.9370019435883
